Compound	H	C	N	O	P	S	Cl	Co	Se
"cis-1,2-Dichloroethene_C2H2Cl2_95.953400"	2	12	0	0	0	0	34	0	0
Vinyl+chloride_C2H3Cl_61.992298	3	12	0	0	0	0	17	0	0
Nitrobenzene_C6H5NO2_123.031998	5	36	7	16	0	0	0	0	0
Nitrosobenzene_C6H5NO_107.037102	5	36	7	8	0	0	0	0	0
"D-2,3-Diketo+4-deoxy-epi-inositol_C6H8O5_160.037201"	8	36	0	40	0	0	0	0	0
2-Deoxy-5-keto-D-gluconic+acid_C6H10O6_178.047806	10	36	0	48	0	0	0	0	0
2-Deoxy-5-keto-D-gluconic+acid+6-phosphate_C6H11O9P_258.014099	11	36	0	72	15	0	0	0	0
Chloral+hydrate_C2H3Cl3O2_163.919907	3	12	0	16	0	0	51	0	0
"beta-1,2,3,4,5,6-Hexachlorocyclohexane_C6H6Cl6_287.860107"	6	36	0	0	0	0	102	0	0
"delta-3,4,5,6-Tetrachlorocyclohexene_C6H6Cl4_217.922394"	6	36	0	0	0	0	68	0	0
Chlorobenzene_C6H5Cl_112.008003	5	36	0	0	0	0	17	0	0
Styrene_C8H8_104.062599	8	48	0	0	0	0	0	0	0
Styrene+cis-glycol_C8H10O2_138.068100	10	48	0	16	0	0	0	0	0
3-Vinylcatechol_C8H8O2_136.052399	8	48	0	16	0	0	0	0	0
"2-Hydroxy-6-oxoocta-2,4,7-trienoate_C8H8O4_168.042297"	8	48	0	32	0	0	0	0	0
4-Chlorophenoxyacetate_C8H7ClO3_186.008408	7	48	0	24	0	0	17	0	0
5-Chloro-2-hydroxymuconic+semialdehyde_C6H5ClO4_175.987701	5	36	0	32	0	0	17	0	0
Protoanemonin_C5H4O2_96.021103	4	30	0	16	0	0	0	0	0
cis-Acetylacrylate_C5H6O3_114.031700	6	30	0	24	0	0	0	0	0
"1,4-Dichlorobenzene_C6H4Cl2_145.968994"	4	36	0	0	0	0	34	0	0
"3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene_C6H6Cl2O2_179.974503"	6	36	0	16	0	0	34	0	0
"3,6-Dichlorocatechol_C6H4Cl2O2_177.958801"	4	36	0	16	0	0	34	0	0
"2,5-Dichloro-cis,cis-muconate_C6H4Cl2O4_209.948700"	4	36	0	32	0	0	34	0	0
"2,6-Dichlorophenol_C6H4Cl2O_161.963898"	4	36	0	8	0	0	34	0	0
"2,6-Dichlorohydroquinone_C6H4Cl2O2_177.958801"	4	36	0	16	0	0	34	0	0
"2,4,6-Trichlorophenol_C6H3Cl3O_195.925003"	3	36	0	8	0	0	51	0	0
"2,3,6-Trichlorohydroquinone_C6H3Cl3O2_211.919907"	3	36	0	16	0	0	51	0	0
"2,4,5-Trichlorophenoxyacetic+acid_C8H5Cl3O3_253.930496"	5	48	0	24	0	0	51	0	0
"2,4,5-Trichlorophenol_C6H3Cl3O_195.925003"	3	36	0	8	0	0	51	0	0
"5-Chloro-1,2,4-trihydroxybenzene_C6H5ClO3_159.992706"	5	36	0	24	0	0	17	0	0
"2-Hydroxy-1,4-benzoquinone_C6H4O3_124.016098"	4	36	0	24	0	0	0	0	0
Ethylbenzene_C8H10_106.078300	10	48	0	0	0	0	0	0	0
1-Phenylethanol_C8H10O_122.073196	10	48	0	8	0	0	0	0	0
Acetophenone_C8H8O_120.057503	8	48	0	8	0	0	0	0	0
Benzoyl+acetate_C9H8O3_164.047394	8	54	0	24	0	0	0	0	0
Benzoyl+acetyl-CoA_C30H42N7O18P3S_913.151917	42	180	49	144	45	16	0	0	0
"2-Hydroxy-6-oxo-octa-2,4-dienoate_C8H10O4_170.057907"	10	48	0	32	0	0	0	0	0
2-Hydroxyacetophenone_C8H8O2_136.052399	8	48	0	16	0	0	0	0	0
m-Xylene_C8H10_106.078201	10	48	0	0	0	0	0	0	0
3-Methylbenzaldehyde_C8H8O_120.057503	8	48	0	8	0	0	0	0	0
m-Methylbenzoate_C8H8O2_136.052399	8	48	0	16	0	0	0	0	0
o-Xylene_C8H10_106.078201	10	48	0	0	0	0	0	0	0
2-Methylbenzyl+alcohol_C8H10O_122.073196	10	48	0	8	0	0	0	0	0
2-Methylbenzaldehyde_C8H8O_120.057503	8	48	0	8	0	0	0	0	0
o-Toluate_C8H8O2_136.052399	8	48	0	16	0	0	0	0	0
3-Methylbenzyl+alcohol_C8H10O_122.073196	10	48	0	8	0	0	0	0	0
"Limonene-1,2-epoxide_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
"Limonene-1,2-diol_C10H18O2_170.130707"	18	60	0	16	0	0	0	0	0
Crepenynate_C18H30O2_278.224609	30	108	0	16	0	0	0	0	0
2-Amino-3-oxo-4-phosphonooxybutyrate_C4H8NO7P_213.003906	8	24	7	56	15	0	0	0	0
"(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoic+acid_C18H32O4_312.230011"	32	108	0	32	0	0	0	0	0
"(7S,8S)-DiHODE_C18H32O4_312.230011"	32	108	0	32	0	0	0	0	0
"2-Hydroxy-5-methyl-cis,cis-muconate_C7H8O5_172.037201"	8	42	0	40	0	0	0	0	0
2-Oxo-5-methyl-cis-muconate_C7H8O5_172.037201	8	42	0	40	0	0	0	0	0
Trichloroethanol_C2H3Cl3O_147.925003	3	12	0	8	0	0	51	0	0
Benzpyrene_C20H12_252.093903	12	120	0	0	0	0	0	0	0
Fluorene_C13H10_166.078293	10	78	0	0	0	0	0	0	0
"3,4-Dihydroxyfluorene_C13H10O2_198.068100"	10	78	0	16	0	0	0	0	0
"2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic+acid_C13H10O4_230.057907"	10	78	0	32	0	0	0	0	0
2-Formyl-1-indanone_C10H8O2_160.052399	8	60	0	16	0	0	0	0	0
3-Hydroxy-1-indanone_C9H8O2_148.052399	8	54	0	16	0	0	0	0	0
"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene_C13H12O2_200.083801"	12	78	0	16	0	0	0	0	0
"3,4-Dihydroxy-3,4-dihydro-9-fluorenone_C13H10O3_214.063004"	10	78	0	24	0	0	0	0	0
4-Hydroxy-9-fluorenone_C13H8O2_196.052399	8	78	0	16	0	0	0	0	0
"1,2-Dihydroxyfluorene_C13H10O2_198.068100"	10	78	0	16	0	0	0	0	0
"2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic+acid_C13H10O4_230.057999"	10	78	0	32	0	0	0	0	0
1-Formyl-2-indanone_C10H8O2_160.052399	8	60	0	16	0	0	0	0	0
2-Indanone_C9H8O_132.057495	8	54	0	8	0	0	0	0	0
3-Isochromanone_C9H8O2_148.052399	8	54	0	16	0	0	0	0	0
Dibenzofuran_C12H8O_168.057495	8	72	0	8	0	0	0	0	0
"2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate_C12H10O5_234.052902"	10	72	0	40	0	0	0	0	0
Dibenzo-p-dioxin_C12H8O2_184.052399	8	72	0	16	0	0	0	0	0
"2,2',3-Trihydroxydiphenylether_C12H10O4_218.057907"	10	72	0	32	0	0	0	0	0
"2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate_C12H10O6_250.047806"	10	72	0	48	0	0	0	0	0
Carbazole_C12H9N_167.073502	9	72	7	0	0	0	0	0	0
"2'-Aminobiphenyl-2,3-diol_C12H11NO2_201.078995"	11	72	7	16	0	0	0	0	0
"2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate_C12H11NO4_233.068802"	11	72	7	32	0	0	0	0	0
"1,4-Cyclohexanedione_C6H8O2_112.052399"	8	36	0	16	0	0	0	0	0
3-(Methylthio)propionic+acid_C4H8O2S_120.024498	8	24	0	16	0	16	0	0	0
Estradiol-17beta+3-sulfate_C18H24O5S_352.134399	24	108	0	40	0	16	0	0	0
2-Methoxyestrone+3-sulfate_C19H24O6S_380.129395	24	114	0	48	0	16	0	0	0
2-Methoxyestradiol-17beta+3-sulfate_C19H26O6S_382.144989	26	114	0	48	0	16	0	0	0
"2-Hydroxy-4,6-diamino-1,3,5-triazine_C3H5N5O_127.049400"	5	18	35	8	0	0	0	0	0
"2,4-Dihydroxy-6-amino-1,3,5-triazine_C3H4N4O2_128.033401"	4	18	28	16	0	0	0	0	0
"2-Chloro-4-hydroxy-6-amino-1,3,5-triazine_C3H3ClN4O_145.999496"	3	18	28	8	0	0	17	0	0
Melamine_C3H6N6_126.065399	6	18	42	0	0	0	0	0	0
"Cyclohex-2,5-diene-1-carboxyl-CoA_C28H42N7O17P3S_873.156982"	42	168	49	136	45	16	0	0	0
"Cyclohex-1,4-diene-1-carboxyl-CoA_C28H42N7O17P3S_873.156982"	42	168	49	136	45	16	0	0	0
Cyclohex-1-ene-1-carboxyl-CoA_C28H44N7O17P3S_875.172729	44	168	49	136	45	16	0	0	0
2-Hydroxycyclohexane-1-carboxyl-CoA_C28H46N7O18P3S_893.183228	46	168	49	144	45	16	0	0	0
2-Ketocyclohexane-1-carboxyl-CoA_C28H44N7O18P3S_891.167603	44	168	49	144	45	16	0	0	0
Benzonitrile_C7H5N_103.042198	5	42	7	0	0	0	0	0	0
Benzamide_C7H7NO_121.052803	7	42	7	8	0	0	0	0	0
Benzylsuccinate_C11H12O4_208.073593	12	66	0	32	0	0	0	0	0
Benzylsuccinyl-CoA_C32H46N7O19P3S_957.178223	46	192	49	152	45	16	0	0	0
E-Phenylitaconyl-CoA_C32H44N7O19P3S_955.162476	44	192	49	152	45	16	0	0	0
(Hydroxymethylphenyl)succinyl-CoA_C32H46N7O20P3S_973.173096	46	192	49	160	45	16	0	0	0
Benzoylsuccinyl-CoA_C32H44N7O20P3S_971.157471	44	192	49	160	45	16	0	0	0
6-Ketoxycyclohex-1-ene-1-carboxyl-CoA_C28H42N7O18P3S_889.151978	42	168	49	144	45	16	0	0	0
Cyclohexane-1-carboxylate_C7H12O2_128.083694	12	42	0	16	0	0	0	0	0
Cyclohexane-1-carboxyl-CoA_C28H46N7O17P3S_877.188416	46	168	49	136	45	16	0	0	0
"2,6-Dihydroxycyclohexane-1-carboxyl-CoA_C28H46N7O19P3S_909.178223"	46	168	49	152	45	16	0	0	0
6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA_C28H44N7O19P3S_907.162476	44	168	49	152	45	16	0	0	0
alpha-Pinene_C10H16_136.125198	16	60	0	0	0	0	0	0	0
Pinocarvone_C10H14O_150.104401	14	60	0	8	0	0	0	0	0
4'-Hydroxyacetophenone_C8H8O2_136.052399	8	48	0	16	0	0	0	0	0
Bromobenzene_C6H5Br_155.957504	5	36	0	0	0	0	0	0	0
2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate_C10H17N3O11P2_417.033813	17	60	21	88	30	0	0	0	0
2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate_C10H18N3O14P3_497.000092	18	60	21	112	45	0	0	0	0
all-trans-Retinoyl-beta-glucuronide_C26H36O8_476.240814	36	156	0	64	0	0	0	0	0
"1,2-Dibromoethane_C2H4Br2_185.867996"	4	12	0	0	0	0	0	0	0
2-Methoxy-estradiol-17beta+3-glucuronide_C25H34O9_478.220093	34	150	0	72	0	0	0	0	0
2-Methoxyestrone+3-glucuronide_C25H32O9_476.204498	32	150	0	72	0	0	0	0	0
Estrone+glucuronide_C24H30O8_446.194092	30	144	0	64	0	0	0	0	0
Testosterone+glucuronide_C25H36O8_464.240906	36	150	0	64	0	0	0	0	0
Androsterone+glucuronide_C25H38O8_466.256592	38	150	0	64	0	0	0	0	0
Etiocholan-3alpha-ol-17-one+3-glucuronide_C25H38O8_466.256592	38	150	0	64	0	0	0	0	0
TCE+epoxide_C2HCl3O_145.909302	1	12	0	8	0	0	51	0	0
Dichloroacetate_C2H2Cl2O2_127.943199	2	12	0	16	0	0	34	0	0
Trichloroacetate_C2HCl3O2_161.904205	1	12	0	16	0	0	51	0	0
Cyclohexane_C6H12_84.093903	12	36	0	0	0	0	0	0	0
"2-Hydroxy-cis-hex-2,4-dienoate_C6H8O3_128.047302"	8	36	0	24	0	0	0	0	0
"(4R,6R)-cis-Carveol_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
"(1R,2R,4R)-Dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
"(1R,2S,4R)-Neo-dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
"(1R,4R)-Dihydrocarvone_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
"(1S,2S,4R)-Iso-dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
"(1S,2R,4R)-Neoiso-dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
"(1S,4R)-Iso-dihydrocarvone_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
"(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone_C10H16O2_168.115097"	16	60	0	16	0	0	0	0	0
"(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone_C10H16O2_168.115005"	16	60	0	16	0	0	0	0	0
(3R)-6-Hydroxy-3-isopropenyl-heptanoate_C10H17O3_185.117798	17	60	0	24	0	0	0	0	0
(3R)-3-Isopropenyl-6-oxoheptanoate_C10H15O3_183.102097	15	60	0	24	0	0	0	0	0
(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate_C10H17O3_185.117798	17	60	0	24	0	0	0	0	0
(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA_C31H50N7O18P3S_933.214722	50	186	49	144	45	16	0	0	0
"(1R,2S,4S)-+Neoiso-dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
"(1R,2R,4S)-Iso-dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
"(1R,4S)-Iso-dihydrocarvone_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
"(1S,2S,4S)-Dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
"(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone_C10H16O2_168.115005"	16	60	0	16	0	0	0	0	0
"(1S,4S)-Dihydrocarvone_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
"(1S,2R,4S)-Neo-dihydrocarveol_C10H18O_154.135803"	18	60	0	8	0	0	0	0	0
(3S)-6-Hydroxy-3-isopropenyl-heptanoate_C10H17O3_185.117798	17	60	0	24	0	0	0	0	0
"(3S,6S)-6-Isopropenyl-3-methyl-2-oxo-oxepanone_C10H16O2_168.115005"	16	60	0	16	0	0	0	0	0
(3S)-3-Isopropenyl-6-oxoheptanoate_C10H15O3_183.102097	15	60	0	24	0	0	0	0	0
(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate_C10H17O3_185.117798	17	60	0	24	0	0	0	0	0
(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA_C31H50N7O18P3S_933.214722	50	186	49	144	45	16	0	0	0
Phenanthracene_C14H10_178.078293	10	84	0	0	0	0	0	0	0
2-Hydroxy-2H-benzo[h]chromene-2-carboxylate_C14H10O4_242.057907	10	84	0	32	0	0	0	0	0
cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate_C14H10O4_242.057907	10	84	0	32	0	0	0	0	0
1-Hydroxy-2-naphthaldehyde_C11H8O2_172.052399	8	66	0	16	0	0	0	0	0
"trans-9(S),10(S)-Dihydrodiolphenanthrene_C14H12O2_212.083801"	12	84	0	16	0	0	0	0	0
"Phenanthrene-9,10-oxide_C14H10O_194.073196"	10	84	0	8	0	0	0	0	0
9-Hydroxyphenanthrene_C14H10O_194.073196	10	84	0	8	0	0	0	0	0
"Phenanthrene-1,2-oxide_C14H10O_194.073196"	10	84	0	8	0	0	0	0	0
1-Phenanthrol_C14H10O_194.073196	10	84	0	8	0	0	0	0	0
1-Methoxyphenanthrene_C15H12O_208.088806	12	90	0	8	0	0	0	0	0
3-(3-Hydroxy-phenyl)-propanoic+acid_C9H10O3_166.063004	10	54	0	24	0	0	0	0	0
N-Cyclohexylformamide_C7H13NO_127.099701	13	42	7	8	0	0	0	0	0
Cyclohexyl+isocyanide_C7H11N_109.089104	11	42	7	0	0	0	0	0	0
UDP-6-sulfoquinovose_C15H23N2O19P2S_629.008911	23	90	14	152	30	16	0	0	0
Cobalt-precorrin+2_C42H46CoN4O16_921.223877	46	252	28	128	0	0	0	27	0
Cobalt-precorrin+3_C43H48CoN4O16_935.239624	48	258	28	128	0	0	0	27	0
Cobalt-precorrin+4_C44H51CoN4O16_950.263184	51	264	28	128	0	0	0	27	0
Cobalt-precorrin+5_C45H53CoN4O16_964.278992	53	270	28	128	0	0	0	27	0
Cobalt-precorrin+6_C44H53CoN4O16_952.278870	53	264	28	128	0	0	0	27	0
Cobalt-dihydro-precorrin+6_C44H55CoN4O16_954.294617	55	264	28	128	0	0	0	27	0
Cobalt-precorrin+8_C45H59CoN4O14_938.336121	59	270	28	112	0	0	0	27	0
"1D-myo-Inositol+1,4,5,6-tetrakisphosphate_C6H16O18P4_499.928497"	16	36	0	144	60	0	0	0	0
"cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol_C9H12O4_184.073593"	12	54	0	32	0	0	0	0	0
"15,16-Dihydrobiliverdin_C33H36N4O6_584.263428"	36	198	28	48	0	0	0	0	0
3-Amino-2-oxopropyl+phosphate_C3H8NO5P_169.014008	8	18	7	40	15	0	0	0	0
beta-Naphthol_C10H8O_144.057495	8	60	0	8	0	0	0	0	0
alpha-Naphthol_C10H8O_144.057495	8	60	0	8	0	0	0	0	0
5-Hydroxyisourate_C5H4N4O4_184.023300	4	30	28	32	0	0	0	0	0
13(1)-Hydroxy-magnesium-protoporphyrin+IX+13-monomethyl+ester_C35H34MgN4O5_614.237915	34	210	28	40	0	0	0	0	0
13(1)-Oxo-magnesium-protoporphyrin+IX+13-monomethyl+ester_C35H32MgN4O5_612.222229	32	210	28	40	0	0	0	0	0
Divinylprotochlorophyllide_C35H30MgN4O5_610.206604	30	210	28	40	0	0	0	0	0
Divinyl+chlorophyllide+a_C35H32MgN4O5_612.222229	32	210	28	40	0	0	0	0	0
Divinylchlorophyll+a_C55H70MgN4O5_890.519714	70	330	28	40	0	0	0	0	0
Zn-Bacterio-chlorophyll+a_C55H74N4O6Zn_950.490112	74	330	28	48	0	0	0	0	0
Perillic+acid_C10H14O2_166.099396	14	60	0	16	0	0	0	0	0
Perillyl-CoA_C31H48N7O17P3S_915.203979	48	186	49	136	45	16	0	0	0
2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA_C31H50N7O18P3S_933.214478	50	186	49	144	45	16	0	0	0
4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA_C31H48N7O18P3S_931.198914	48	186	49	144	45	16	0	0	0
3-Isopropenylpimelyl-CoA_C31H50N7O19P3S_949.209473	50	186	49	152	45	16	0	0	0
"(1S,4R)-1-Hydroxy-2-oxolimonene_C10H16O2_168.115005"	16	60	0	16	0	0	0	0	0
Myrtenol_C10H16O_152.120102	16	60	0	8	0	0	0	0	0
Myrtenal_C10H14O_150.104507	14	60	0	8	0	0	0	0	0
Myrtenic+acid_C10H14O2_166.099396	14	60	0	16	0	0	0	0	0
Pinocarveol_C10H16O_152.120102	16	60	0	8	0	0	0	0	0
"trans-2-Methyl-5-isopropylhexa-2,5-dienal_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
"trans-2-Methyl-5-isopropylhexa-2,5-dienoic+acid_C10H16O2_168.115005"	16	60	0	16	0	0	0	0	0
"cis-2-Methyl-5-isopropylhexa-2,5-dienoic+acid_C10H16O2_168.115005"	16	60	0	16	0	0	0	0	0
"trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA_C31H50N7O17P3S_917.219727"	50	186	49	136	45	16	0	0	0
"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA_C31H50N7O17P3S_917.219727"	50	186	49	136	45	16	0	0	0
"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA_C31H52N7O18P3S_935.230225"	52	186	49	144	45	16	0	0	0
"2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA_C31H50N7O18P3S_933.214722"	50	186	49	144	45	16	0	0	0
3-Isopropylbut-3-enoyl-CoA_C28H46N7O17P3S_877.188477	46	168	49	136	45	16	0	0	0
3-Isopropylbut-3-enoic+acid_C7H12O2_128.083694	12	42	0	16	0	0	0	0	0
Dihydroceramide_C19H38NO3R_328.285187	38	114	7	24	0	0	0	0	0
Phytosphingosine_C18H39NO3_317.292999	39	108	7	24	0	0	0	0	0
Phytoceramide_C19H38NO4R_344.280090	38	114	7	32	0	0	0	0	0
L-Threonine+O-3-phosphate_C4H10NO6P_199.024597	10	24	7	48	15	0	0	0	0
"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate_C5H6N4O5_202.033798"	6	30	28	40	0	0	0	0	0
"cis-Cyclohexane-1,2-diol_C6H12O2_116.083702"	12	36	0	16	0	0	0	0	0
1-Oxa-2-oxo-3-hydroxycycloheptane_C6H10O3_130.063004	10	36	0	24	0	0	0	0	0
trans-3-Hydroxycinnamate_C9H8O3_164.047394	8	54	0	24	0	0	0	0	0
"cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol_C9H10O4_182.057907"	10	54	0	32	0	0	0	0	0
"trans-2,3-Dihydroxycinnamate_C9H8O4_180.042297"	8	54	0	32	0	0	0	0	0
2-Hydroxy-6-ketononatrienedioate_C9H8O6_212.032104	8	54	0	48	0	0	0	0	0
"3,4,6-Trichlorocatechol_C6H3Cl3O2_211.919907"	3	36	0	16	0	0	51	0	0
"3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene_C6H5Cl3O2_213.935501"	5	36	0	16	0	0	51	0	0
"2,3,5-Trichloro-cis,cis-muconate_C6H3Cl3O4_243.909698"	3	36	0	32	0	0	51	0	0
"2,5-Dichloro-carboxymethylenebut-2-en-4-olide_C6H2Cl2O4_207.932999"	2	36	0	32	0	0	34	0	0
"2,5-Dichloro-4-oxohex-2-enedioate_C6H4Cl2O5_225.943604"	4	36	0	40	0	0	34	0	0
2-Chloro-3-oxoadipate_C6H7ClO5_193.998199	7	36	0	40	0	0	17	0	0
"3-Chloro-cis-1,2-dihydroxycyclohexa-3,5-diene_C6H7ClO2_146.013504"	7	36	0	16	0	0	17	0	0
trans-4-Carboxymethylenebut-2-en-4-olide_C6H4O4_140.011002	4	36	0	32	0	0	0	0	0
Phosphodimethylethanolamine_C4H12NO4P_169.050400	12	24	7	32	15	0	0	0	0
Tetrabromobisphenol+A_C15H12Br4O2_539.757019	12	90	0	16	0	0	0	0	0
Tribromobisphenol+A_C15H13Br3O2_461.846497	13	90	0	16	0	0	0	0	0
Dibromobisphenol+A_C15H14Br2O2_383.936005	14	90	0	16	0	0	0	0	0
Monobromobisphenol+A_C15H15BrO2_306.025513	15	90	0	16	0	0	0	0	0
Bisphenol+A_C15H16O2_228.115005	16	90	0	16	0	0	0	0	0
"4-Methyl-2,4-bis-(p-hydroxyphenyl)pent-1-ene_C18H20O2_268.146301"	20	108	0	16	0	0	0	0	0
5-Hydroxybisphenol+A_C15H16O3_244.110001	16	90	0	24	0	0	0	0	0
"4,5-Bisphenol-o-quinone_C15H14O3_242.094299"	14	90	0	24	0	0	0	0	0
"1,2-Bis(4-hydroxyphenyl)-2-propanol_C15H16O3_244.110001"	16	90	0	24	0	0	0	0	0
"2,2-Bis(4-hydroxyphenyl)-1-propanol_C15H16O3_244.110001"	16	90	0	24	0	0	0	0	0
"4,4'-Dihydroxy-alpha-methylstilbene_C15H14O2_226.099396"	14	90	0	16	0	0	0	0	0
"2,2-Bis(4-hydroxyphenyl)-propanoic+acid_C15H14O4_258.089203"	14	90	0	32	0	0	0	0	0
"2,3-Bis(4-hydroxyphenyl)-1,2-propanediol_C15H16O4_260.104889"	16	90	0	32	0	0	0	0	0
4-Hydroxyphenacyl+alcohol_C8H8O3_152.047302	8	48	0	24	0	0	0	0	0
4-Hydroxyphenyl+acetate_C8H8O3_152.047394	8	48	0	24	0	0	0	0	0
4-Ethylphenol_C8H10O_122.073196	10	48	0	8	0	0	0	0	0
1-(4'-Hydroxyphenyl)ethanol_C8H10O2_138.068100	10	48	0	16	0	0	0	0	0
"9,11,15-Trihydroxy-prosta-5,13-dien-1-oic+acid_C20H34O5_354.240509"	34	120	0	40	0	0	0	0	0
UDP-N-acetyl-D-galactosaminuronic+acid_C17H25N3O18P2_621.060730	25	102	21	144	30	0	0	0	0
"1,1-Dichloroethylene_C2H2Cl2_95.953400"	2	12	0	0	0	0	34	0	0
1-Nitronaphthalene_C10H7NO2_173.047699	7	60	7	16	0	0	0	0	0
1-Methylnaphthalene_C11H10_142.078201	10	66	0	0	0	0	0	0	0
"cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene_C11H12O2_176.083694"	12	66	0	16	0	0	0	0	0
"1,2-Dihydroxy-8-methylnaphthalene_C11H10O2_174.068100"	10	66	0	16	0	0	0	0	0
2-Hydroxy-8-methylchromene-2-carboxylate_C11H10O4_206.057907	10	66	0	32	0	0	0	0	0
2-Hydroxy-3-methylbenzalpyruvate_C11H10O4_206.057907	10	66	0	32	0	0	0	0	0
3-Methylsalicylaldehyde_C8H8O2_136.052399	8	48	0	16	0	0	0	0	0
3-Methylsalicylate_C8H8O3_152.047302	8	48	0	24	0	0	0	0	0
1-Hydroxymethylnaphthalene_C11H10O_158.073196	10	66	0	8	0	0	0	0	0
1-Naphthaldehyde_C11H8O_156.057495	8	66	0	8	0	0	0	0	0
1-Naphthoic+acid_C11H8O2_172.052399	8	66	0	16	0	0	0	0	0
"cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene_C11H10O4_206.057907"	10	66	0	32	0	0	0	0	0
"1,2-Dihydroxy-8-carboxynaphthalene_C11H8O4_204.042297"	8	66	0	32	0	0	0	0	0
2-Carboxy-2-hydroxy-8-carboxychromene_C11H8O6_236.032104	8	66	0	48	0	0	0	0	0
2-Hydroxy-3-carboxybenzalpyruvate_C11H8O6_236.032104	8	66	0	48	0	0	0	0	0
3-Formylsalicylic+acid_C8H6O4_166.026596	6	48	0	32	0	0	0	0	0
2-Hydroxyisophthalic+acid_C8H6O5_182.021500	6	48	0	40	0	0	0	0	0
2-Methylnaphthalene_C11H10_142.078293	10	66	0	0	0	0	0	0	0
2-Naphthaldehyde_C11H8O_156.057495	8	66	0	8	0	0	0	0	0
4-Formylsalicylic+acid_C8H6O4_166.026596	6	48	0	32	0	0	0	0	0
2-Naphthoic+acid_C11H8O2_172.052505	8	66	0	16	0	0	0	0	0
"cis-1,2-Dihydroxy-1,2-dihydro-7-methylnaphthalene_C11H12O2_176.083801"	12	66	0	16	0	0	0	0	0
4-Methylsalicylate_C8H8O3_152.047302	8	48	0	24	0	0	0	0	0
"cis-1,2-Dihydroxy-1,2-dihydro-7-hydroxymethylnaphthalene_C11H12O3_192.078705"	12	66	0	24	0	0	0	0	0
"1,2-Dihydroxy-7-hydroxymethylnaphthalene_C11H10O3_190.063004"	10	66	0	24	0	0	0	0	0
2-Hydroxy-7-hydroxymethylchromene-2-carboxylate_C11H10O5_222.052902	10	66	0	40	0	0	0	0	0
2-Hydroxy-4-hydroxymethylbenzalpyruvate_C11H10O5_222.052902	10	66	0	40	0	0	0	0	0
4-Hydroxymethylsalicylaldehyde_C8H8O3_152.047394	8	48	0	24	0	0	0	0	0
4-Hydroxymethylsalicylate_C8H8O4_168.042297	8	48	0	32	0	0	0	0	0
4-Hydroxymethylcatechol_C7H8O3_140.047302	8	42	0	24	0	0	0	0	0
