Compound	H	C	N	O	P	S	Cl	Co	Se
D-Mannose+6-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
"Androst-4-ene-3,17-dione_C19H26O2_286.193298"	26	114	0	16	0	0	0	0	0
Hydrogen+sulfide_H2S_33.987701	2	0	0	0	0	16	0	0	0
dGTP_C10H16N5O13P3_506.995605	16	60	35	104	45	0	0	0	0
Inosine_C10H12N4O5_268.080811	12	60	28	40	0	0	0	0	0
Orotate_C5H4N2O4_156.017105	4	30	14	32	0	0	0	0	0
Uridine_C9H12N2O6_244.069595	12	54	14	48	0	0	0	0	0
Creatine_C4H9N3O2_131.069504	9	24	21	16	0	0	0	0	0
ADP-ribose_C15H24N5O14P2_560.079407	24	90	35	112	30	0	0	0	0
Glutamate_C5H9NO4_147.053207	9	30	7	32	0	0	0	0	0
CDP-choline_C14H26N4O11P2_488.107208	26	84	28	88	30	0	0	0	0
Isocitrate_C6H8O7_192.026993	8	36	0	56	0	0	0	0	0
Oxalyl-CoA_C23H36N7O19P3S_839.099976	36	138	49	152	45	16	0	0	0
Pyridoxine_C8H11NO3_169.073898	11	48	7	24	0	0	0	0	0
Spermidine_C7H19N3_145.157898	19	42	21	0	0	0	0	0	0
Sphingosine_C18H37NO2_299.282410	37	108	7	16	0	0	0	0	0
Thiosulfate_HO3S2_112.936699	1	0	0	24	0	32	0	0	0
GDP-L-fucose_C16H25N5O15P2_589.081970	25	96	35	120	30	0	0	0	0
Glycoprotein_C28H47N5O18_741.291504	47	168	35	144	0	0	0	0	0
L-Citrulline_C6H13N3O3_175.095703	13	36	21	24	0	0	0	0	0
L-Kynurenine_C10H12N2O3_208.084793	12	60	14	24	0	0	0	0	0
D-Glucosamine_C6H13NO5_179.079407	13	36	7	40	0	0	0	0	0
Deoxyguanosine_C10H13N5O4_267.096802	13	60	35	32	0	0	0	0	0
Indolepyruvate_C11H9NO3_203.058304	9	66	7	24	0	0	0	0	0
D-Galacturonate_C6H10O7_194.042694	10	36	0	56	0	0	0	0	0
4-Aminobutanoate_C4H9NO2_103.063301	9	24	7	16	0	0	0	0	0
(S)-Dihydroorotate_C5H6N2O4_158.032806	6	30	14	32	0	0	0	0	0
Ethanolamine+phosphate_C2H8NO4P_141.019104	8	12	7	32	15	0	0	0	0
D-Glucosamine+6-phosphate_C6H14NO8P_259.045685	14	36	7	64	15	0	0	0	0
"3,4-Dihydroxy-L-phenylalanine_C9H11NO4_197.068802"	11	54	7	32	0	0	0	0	0
N-Acetyl-D-glucosamine+6-phosphate_C8H16NO9P_301.056305	16	48	7	72	15	0	0	0	0
dAMP_C10H14N5O6P_331.068115	14	60	35	48	15	0	0	0	0
dGDP_C10H15N5O10P2_427.029388	15	60	35	80	30	0	0	0	0
dGMP_C10H14N5O7P_347.063110	14	60	35	56	15	0	0	0	0
dTDP_C10H16N2O11P2_402.022797	16	60	14	88	30	0	0	0	0
dTMP_C10H15N2O8P_322.056488	15	60	14	64	15	0	0	0	0
dUMP_C9H13N2O8P_308.040894	13	54	14	64	15	0	0	0	0
Urate_C5H4N4O3_168.028305	4	30	28	24	0	0	0	0	0
Retinal_C20H28O_284.213989	28	120	0	8	0	0	0	0	0
Thiamin_C12H17N4OS_265.112305	17	72	28	8	0	16	0	0	0
Cytosine_C4H5N3O_111.043297	5	24	21	8	0	0	0	0	0
Malonate_C3H4O4_104.011002	4	18	0	32	0	0	0	0	0
